"","CC18_322a","CC18_322b","CC18_322c_new","CC18_322d_new","CC18_322c","CC18_322f"
"806",2,1,NA,NA,2,1
"807",2,1,NA,NA,2,2
"808",1,1,NA,NA,1,1
"809",1,2,NA,NA,1,1
"810",1,2,NA,NA,1,1
"811",2,1,NA,NA,2,2
"812",1,2,NA,NA,1,1
"813",2,1,NA,NA,2,2
"814",1,2,NA,NA,1,1
"815",2,1,NA,NA,2,2
"816",2,1,NA,NA,2,2
"817",2,1,NA,NA,2,NA
"818",2,2,NA,NA,1,2
"819",1,1,NA,NA,1,1
"820",1,2,NA,NA,1,1
"821",1,1,NA,NA,1,1
"822",1,2,NA,NA,1,1
"823",1,2,NA,NA,1,1
"824",1,2,NA,NA,1,1
"825",2,1,NA,NA,2,2
"826",1,1,NA,NA,1,1
"827",1,2,NA,NA,1,1
